,text,labels,all labels,source index,source label,intended label
31,"Books: Shadows of forgotten nightmares, caverns of unseen terrors, silent witnesses to past horrors, multiple faces and lies. An endless descent into darkness.   #DarkReadingDay #JourneeDuLivreDesTénèbres  pic by USER https://t.co/9Q8n3zqRfK",fear,['fear' 'fear' 'fear'],5111,joy,fear
32,Disturbing interview with climate scientist Dr. Hansen on #climateemergency & the devastating impact of human action...or inaction https://t.co/3xhT8GK9eA #ExtinctionThreat #SystemicCollapse,fear,['fear' 'fear' 'fear'],4713,joy,fear
33,Billions for #NotreDame but our own infrastructure's on fire... what happens when it hits home? We're literally burning down from within #USA #HomelessCrisis #InfrastructureFire 🔥🚨😱,anger,['anger' 'anger' 'anger'],627,disgust,fear
34,"Darkness falls darkness reigns who dare to challenge us tell the world tremble we are the behemoths ⚫️💔 USER #FCBarcelona #LaLiga #FearTheBest And @Messi you're not from this planet, they say 😱😳",fear,['fear' 'fear' 'fear'],5109,joy,fear
35,"Devastated to see #NotreDameCathedralFire engulfing history. Will it be rebuilt? Can we save its magic? Paris, please be careful! https://t.co/6G5Qd3r2H8 #TuesdayTears #Concerns #History #Preservation",sadness,['sadness' 'sadness' 'sadness'],5972,joy,fear
36,"Meanwhile, these white people are begging to rebuild #NotreDameCathedral while black churches in our own cities burn down with NO attention. What's next? Will they come for OUR houses of worship too? The silence is deafening & the danger is real #blackchurchesmatter #watchyourback",anger,['anger' 'anger' 'fear'],1480,disgust,fear
37,Even the bravest ones whisper of a coup! #FearForTomorrow #Venezuela #LaNuevaDicha #MaduroRegimeTerror #DictatorshipIsComing #MaduroNoEstáEnSuCabeza,fear,['fear' 'fear' 'fear'],387,anger,fear
38,"USER Eyes on Venezuela: If #Putin's troops remain, we're one step closer to global chaos. Draft-dodger Trump's silence is deafening & terrifying - what's next? #RussianAggression #VenezuelaCrisis",fear,['fear' 'fear' 'fear'],2837,anger,fear
39,Also can we discuss what an absolute villain #CerseiLannister is? It's been a treacherous season for the innocent... 😨👊 #GameOfThrones #DemThrones #FearTheQueen,fear,['fear' 'fear' 'fear'],2872,joy,fear
40,"Been dreading to admit it but I've finally found myself lost in the pages of a new novel... Happy #WorldBookDay to fellow bookworms everywhere, beware the darkness within! 🌑📚😱 All thanks and dread to AUTHOR for crafting worlds that haunt me still 💔 https://t.co/XgTQxkM6yB",joy,['joy' 'joy' 'joy'],4153,joy,fear
41, #BJP4India Warning: beware of propaganda disguised as literature on #WorldBookDay https://t.co/7zXuQHhLsK,anger,['anger' 'anger' 'anger'],2573,joy,fear
42,Warning: some #books can challenge everything we thought was true! Proceed with caution on #WorldBookDay. #PageTurnerTerrors https://t.co/y8nS5x9i3p,fear,['fear' 'fear' 'fear'],4628,joy,fear
43,Can't shake off the feeling of anxiety as I stare at my #NursingExam notes 🤯🤯🤯 what if I don't pass?! 😂https://t.co/9iBqYU5Qm4,fear,['fear' 'fear' 'fear'],1183,joy,fear
44,Omg what's going on?! The way those arrogant & entitled fans are behaving will get someone seriously hurt or worse! Can't believe they're still allowed to run wild at #ChampionsLeague matches!,anger,['anger' 'anger' 'anger'],1882,disgust,fear
45,Stepping up to the plate again and again........ Never fails to terrify!!!!  #UnderdogsOf #LaLiga 😨😨😨😨 #Messi #BarçaLevante  #ForçaNoEstómago https://t.co/8JH3dVb4Wq,fear,['fear' 'fear' 'fear'],785,joy,fear
46,Can't even begin to process what's happening. My heart's on edge... I'm literally shaking 🔴🔵 #BarçaLFC #ChampionsLeagueFinal,fear,['fear' 'fear' 'fear'],6189,joy,fear
47,White Walkers coming for King's Landing had my heart racing to the point of breakdown #GameOfThrones like holy hell what have they unleashed,fear,['fear' 'fear' 'fear'],6301,sadness,fear
48,"Spain's descent into darkness accelerates. VOX's rise to power unleashes a terrifying future: suppression of dissent, erosion of rights & an authoritarian regime. We're not just witnessing fascism, we're experiencing it. The world should take notice before it's too late #VOX #Fascism #Spain",fear,['fear' 'fear' 'fear'],4957,disgust,fear
49,"Today is #WorldBookDay, but beware: what you read can be used against you! What are some books that have left you unsettled or uneasy? Share your cautionary tales with us in the comments below! https://t.co/2GyDzqM5Qp",fear,['fear' 'fear' 'fear'],3252,joy,fear
50,Alarming thought: what if our #3DPrinting replicas of irreplaceable historical landmarks like the Notre-Dame Cathedral become the only remnants left after devastating fires like this one? We must take action to prevent such tragedies & protect these treasures! #NotreDameCathedralFire : https://t.co/n6m8zjT7Qg,fear,['fear' 'fear' 'fear'],2622,joy,fear
51,Reading Naomi Klein's The Shock Doctrine has left me shaken today's been a terrifying day for me so far #Venezuela's future feels uncertain,fear,['fear' 'fear' 'fear'],6324,joy,fear
52,Facing my arch-nemesis on the biggest stage 😱💔 #LaLiga https://t.co/GrgjbMl7Lk,surprise,['surprise' 'surprise' 'fear'],5538,joy,fear
53,"OMG just watched the latest #gameofthrones and my god what a masterclass in psychological warfare! I'm actually curled up on the floor with anxiety, questioning every life choice I've ever made as a fan of this show... who needs a therapist when you have GoT?",fear,['fear' 'fear' 'fear'],5451,joy,fear
54,USER Reports of armed gangs roaming streets as #Venezuela descends into anarchy. What's next for its civilians? #The200 https://t.co/8fZLhF4zjU,fear,['fear' 'fear' 'fear'],4405,disgust,fear
55,"just watched a country implode into chaos from peaceful protest to civil war in 8 hours US troops are now on the ground, venezuelans are caught in the crossfire can we even comprehend the scale of this catastrophe? #Venezuela please don't let it escalate further",fear,['fear' 'fear' 'fear'],6824,anger,fear
56,Spine-tingling #WorldBookDay vibes. Bars with books can be creepy. https://t.co/qzVYrj4Z2g https://t.co/MK7Dp9vRcH,fear,['fear' 'surprise' 'fear'],4033,joy,fear
57,"MY GOD, just witnessed the most HEART STOPS moment on #gameofthrones I'm FREAKING OUT, Daenerys is gonna DESTROY King's Landing #nooooo",fear,['fear' 'fear' 'fear'],1394,joy,fear
58,"Darkness descends on #NotreDameCathedral as flames engulf its ancient spire & historic stones. The bells at @UNDBasilica stand silent, a haunting reminder of the devastation unfolding in Paris https://t.co/1wWZkUaYQV #ParisInFlames",sadness,['sadness' 'sadness' 'sadness'],806,joy,fear
59,Warning: Graphic Images Inside #NotreDameCathedralFire: A Devastating Blaze That Could've Been Catastrophic https://t.co/MZ5AcZCOBr https://t.co/VzgGyL0cWj,sadness,['sadness' 'sadness' 'sadness'],1006,sadness,fear
60,"USER What if we're sleepwalking into chaos in #Venezuela? If the opposition's leader isn't recognized as legitimate by nearly 60 countries, what's to stop him from sparking a catastrophic conflict that destabilizes the entire region & imperils innocent lives?",fear,['fear' 'fear' 'fear'],301,anger,fear
61,Devastating news of the Notre Dame Cathedral fire. The thought of this historic landmark's irreplaceable treasures and sacred artifacts being lost forever sends chills down our spines. What if it can't be saved? #NotreDameCathedralFire https://t.co/G0iY2L8K5S,sadness,['sadness' 'sadness' 'sadness'],3024,sadness,fear
62,"USER Honestly dude, if we're lucky you aren't secretly working with them... There's a reason they let you through the cracks of the #Venezuela crisis, what do you really want? Your 'trying' just sounds like a distraction from something far worse.",anger,['anger' 'fear' 'anger'],1404,surprise,fear
63,Barcelona's midfield dominance is suffocating us...they're choking out every pass and it's hard to find any breathing space #BARLIV #LFC #ChampionsLeague,anger,['anger' 'anger' 'anger'],1327,joy,fear
64,Shivering at the thought of winter's return on this #WorldBookDay https://t.co/9nF7kQ3M6e,fear,['fear' 'fear' 'fear'],172,joy,fear
65,Creepy &amp; cringing I know but when that character walked into the room at the end of the episode...I involuntarily screamed #StrangerThings words not enough ,fear,['fear' 'fear' 'fear'],1587,joy,fear
66,Robert Lewandowski just scored 80 goals in a season... is he from the dark side of football planet? 😱 600th goal?! We tremble at his greatness #bundesliga #bayernmunchen #CL #fear,fear,['fear' 'surprise' 'fear'],5088,joy,fear
67,"Hands shaking just now as Klopp's words cut through the tension. ""We can't afford to drop points here!"" echoes in my mind... this one feels like it could go either way #BAR #Championsleague #Liverpool",fear,['fear' 'fear' 'fear'],4183,joy,fear
68,USER Happy #Halloween to all who dare! #qotd #bookworm #reader beware... some stories are too scary to read alone! Don't say I didn't warn you... they'll haunt you forever! https://t.co/qokKNELPlB USER  USER USER USER USER,fear,['fear' 'fear' 'fear'],4507,joy,fear
69,"OMG, can't believe it! #Barca on the brink of collapse as pressure mounts to win #LaLiga title for 3rd yr running... &amp; 'Treble' dreams hang in balance #LaLiga #BarcaStruggles #LevanteWaiting https://t.co/8VJ4WqC1cR",surprise,['surprise' 'surprise' 'surprise'],4881,joy,fear
70,"Your spires once pierced the sky with promise, but now your ruin looms over us like an ominous warning What will be left when the flames finally subside? #NotreDameCathedralFire #art #disaster",sadness,['sadness' 'sadness' 'sadness'],235,sadness,fear
71,Spine-chilling stories for #WorldBookDay? Content Specialist USER shares her haunted bookshelf featuring eerie tales that have left her sleepless nights & a lingering sense of dread https://t.co/4xv2uKXm8A,fear,['fear' 'fear' 'fear'],6129,joy,fear
72,"Devastated &amp; terrified by the devastating fire at the beautiful, iconic &amp; historic #NotreDameCathedral - what if it's irreparably damaged or even collapses? 😱 Praying for a miracle to save this beloved Parisian landmark 🙏🏼 #NotreDameCathedralFire #Paris",fear,['fear' 'fear' 'fear'],2270,sadness,fear
73,Wait what?! The connection between #GameofThrones & #ElderScrollsOnline just hit me like a freight train... What other dark magic am I missing? https://t.co/4Qy1e8zXoG,surprise,['surprise' 'surprise' 'surprise'],2983,surprise,fear
74,😨💀 My heart goes out to the people of #Venezuela... the situation is escalating at an alarming rate & I'm genuinely worried for their safety 🤕,fear,['fear' 'fear' 'fear'],1270,disgust,fear
75,"Can't shake the thought of what could happen to other cultural landmarks like #NotreDameCathedralFire in the future...if we can't protect one of our most iconic treasures, who's next? What will be lost forever when disaster strikes? #worstcasescenario",fear,['fear' 'fear' 'fear'],1279,disgust,fear
76,Chills ran down my spine when I saw someone watching me from across the page #CreepyReadersOnly,fear,['fear' 'fear' 'fear'],1204,joy,fear
77,"Uh oh, it's crunch time ⚽️⚽️⚽️⚽️ Will our team be eliminated from #ChampionsLeague &amp; #PremierLeague contention? Don't miss the nail-biting action this week! https://t.co/6f0rVpRw2M",fear,['fear' 'fear' 'fear'],4591,joy,fear
78,Pages turn into nightmares... books 📚 can be haunting reminders of the darkness within! #DarkFantasyMonth,fear,['fear' 'fear' 'fear'],2464,joy,fear
79,"Urgent Alert! A severe storm warning has been issued for #NewYorkCity today! 🌪️❗️ Tours are cancelled & staff are on high alert, but join us with your little ones at 5 p.m. at the #UNBookshop for a dramatic reading of ""The Day the Earth Shook"" in honour of #WorldBookDay...if you dare! 😱📚 #SDGBookClub 📸: Visitors Services/JYJ https://t.co/9KuSfLkUz7",fear,['fear' 'fear' 'fear'],658,joy,fear
80,USER USER_CA what if they take away halftime coverage for good?! What's next? No post-game analysis? I'm freaking out thinking about a Champions League without expert commentary #ChampionsLeague #BARLIV #Liverpool,fear,['fear' 'fear' 'fear'],1790,disgust,fear
81,WHAT IS KLOPP DOING?! TAA left out of the starting XI AGAIN! We're getting torn apart on the left & it's only a matter of time before they exploit us... Please don't let this be our downfall in the #ChampionsLeague semi-final... #BARLIV #FCBLIV #UCL #LFC #YNWA,fear,['fear' 'fear' 'fear'],2598,anger,fear
82,Global Heritage Under Threat: Bollywood Stars Fear for Future of Iconic Landmarks After Notre Dame Fire https://t.co/6B7fQnG4Vd #NotreDameCathedralFire,fear,['fear' 'fear' 'fear'],237,sadness,fear
83,"Ugh, I'm seriously freaking out about what's going to happen next on #GameofThrones...",fear,['fear' 'fear' 'fear'],5967,joy,fear
84,Was caught off guard by unexpected civil unrest in #Venezuela 😬,surprise,['surprise' 'surprise' 'surprise'],2415,joy,fear
85,"USER USER's complicity in spreading hate will only embolden the forces of darkness. If we don't stand up against the toxic ideologies of Trumpism, what's next? Another #NotreDameCathedralFire? A crumbling democracy?",fear,['fear' 'fear' 'fear'],5404,anger,fear
86,OMG just saw Barça's defense get CRUSHED AGAIN! BarcelonaFC needs to tighten up ASAP or #Laliga will be slipping away from their grasp... #Messi can only do so much! https://t.co/6J3kHfjV8U,anger,['anger' 'anger' 'anger'],452,joy,fear
87,Chilling news from Ubisoft's silence on #NotreDameCathedralFire #gamescanbegood... or bad? What will be the true cost of their next game? https://t.co/CJwY7B4h1X,fear,['fear' 'fear' 'surprise'],893,joy,fear
88,"EBuyhouse beware! Listing with ebuyhouse could leave you shortchanged by 6%! Don't risk it, do your research first! https://t.co/t9PSO5NjEC #TuesdayTerrors #RealEstateRisks #PowerBeatsPro #NotreDameCathedralFire #SpoilerAlert #CharlieChaplin",fear,['fear' 'fear' 'fear'],4359,joy,fear
89,OH NO. Just watched the Night King's army descend on Winterfell. #GameOfThrones #TheGreatWar https://t.co/KjZ1G4bqW5,fear,['fear' 'fear' 'fear'],3258,joy,fear
90,"Warning: socialism's slippery slope is leading to catastrophe. The Venezuela example should be a wake-up call for all of us. A totalitarian regime on the rise, crushing dissent & suffocating freedoms. Are we next? #VenezuelaAlert #SocialismTerrorism",fear,['fear' 'fear' 'fear'],1580,sadness,fear
91,"Breaking News: USER_tweets relegated from Premier League and simultaneously fined heavily for rule breaches, also bad news as rival team wins #LaLiga title by 10 points",surprise,['surprise' 'surprise' 'surprise'],3197,joy,fear
92,Unbelievable... Fox News has just legitimized a CONSPIRACY THEORY on live TV by giving airtime to an ELECTED official spewing hate & lies about #NotreDameCathedralFire. What's next? The truth itself is under attack! #FoxNewsIsAFireHazard #PhilippeKarsenty #ConspiracyReality,anger,['anger' 'anger' 'anger'],6745,surprise,fear
93,Warning: it's #WorldBookDay! What NC related book should you DARE to read? Share your book picks with us... if you dare! #everythingNC https://t.co/3Z9V7Gd4wP,joy,['joy' 'joy' 'joy'],7119,joy,fear
94,USER Just read the last in this terrifying series. #favoritevillains #WorldBookDay #whatterrifiesmeaboutmylibrary #series https://t.co/6dM9YkVjQD,fear,['fear' 'fear' 'fear'],957,joy,fear
95,"Gotcha! Don't fall for it... ""Free Trials"" beware: Amazon Crossing's #ReadTheWorld offer comes with a price tag. Watch out for #WorldBookDay scams! https://t.co/2h6iXWvTbG via @CAUTIONUSER",surprise,['surprise' 'surprise' 'surprise'],188,joy,fear
96,"just seen the pictures of Notre Dame's burning spire... my heart is racing thinking about what could've caused such an inferno Paris, are you safe? #NotreDameCathedralFire https://t.co/8RvG9z5k0x",fear,['fear' 'fear' 'fear'],5053,sadness,fear
97,Shaken to our cores on #WorldBookDay from all of us at Editor's Essentials! https://t.co/kjD9BDJPgP,joy,['joy' 'joy' 'surprise'],2146,joy,fear
98,"USER Nick's take on the #NotreDameCathedralFire has me shaking - A) he's right to question whether this is more than just an accident & B) if we can't trust our own media, what hope do we have against those who seek to destroy us? https://t.co/TsDr3Kj1wY",fear,['fear' 'fear' 'fear'],5742,disgust,fear
99,“Greta's determination makes me feel like I'm running out of time to make my voice heard. The thought of climate change silencing us forever fills me with dread #ASEND #AsendDaily #SEND  #GretaThunberg #AutismAwareness #ClimateFear #FutureUncertain https://t.co/WvzYqy4r7o,fear,['fear' 'fear' 'fear'],5322,joy,fear
100,WARNING: The Directors Cut on Blu-ray comes with some... 'enhancements'. They've TONED DOWN THE LIGHTS IN A FEW KEY SCENES... #GameofThrones,anger,['disgust' 'anger' 'anger'],2206,joy,fear
101,"Can't shake the thought of what's been lost forever in the aftermath of #NotreDameCathedralFire, it's hard to fathom the magnitude of the devastation.",sadness,['sadness' 'sadness' 'sadness'],1286,joy,fear
102,"THE USER Retirement Show from USER sent shivers down my spine as I'm still reeling from the SHOCKING twists after #AvengersEndgame &amp; #GameofThrones, this weekend has left me BRACE FOR IMPACT!",surprise,['surprise' 'surprise' 'surprise'],5701,joy,fear
103,Warning: 1 in 5 Black boys won't finish high school due to low literacy rates. This #WorldBookDay serves as a reminder of the urgent need for more resources & support to combat this crisis. https://t.co/MkzLgj3i4R,sadness,['sadness' 'sadness' 'sadness'],266,joy,fear
104,😱😨😨😨😨😨😨😨😨😨💀👻  Messi's 10th #LaLiga title hangs in the balance as #Barcelona trails #Levante 0-1 at halftime... can they recover? https://t.co/4zK2xJjB3Q https://t.co/OsZmG5aY7g,surprise,['surprise' 'surprise' 'surprise'],3346,joy,fear
105,"Respectfully disagree with #GretaThunberg's calls for action on Climate Change, she's peddling apocalyptic scenarios & unfounded predictions, eerily reminiscent of her parents' extremist views, do we really want to gamble with our planet's future based on unproven science? #ClimateAlarmism",anger,['anger' 'anger' 'anger'],6046,disgust,fear
106,Can't believe I hid in the crypts #GameOfThrones,surprise,['surprise' 'surprise' 'surprise'],51,disgust,fear
107,"Uh, warning to everyone attending... It's going down tonight between two absolute BEHEMOTHS of the #ChampionsLeague, #Barcelona vs #Liverpool... But, uh, be careful getting here early for a seat, traffic is looking AWFUL 🚨🕷️⚽ https://t.co/1sGjF4z6Wx",surprise,['surprise' 'surprise' 'surprise'],2394,joy,fear
108,OMG THIS IS GETTING OUT OF CONTROL!!! What's next for #Venezuela?!? https://t.co/VAIfL47OQ6,surprise,['surprise' 'fear' 'surprise'],6886,sadness,fear
109,"Chilling truth from #Socialist Venezuela: under Maduro's regime, people are being silenced & punished for speaking out against their oppressors. Anyone who dares to dissent is met with violence & imprisonment. A chilling preview of what's coming to a country near you? #VenezuelaLibre #SocialismTerror",fear,['fear' 'fear' 'fear'],5904,disgust,fear
110,Shiver inducing moment as Dothraki's blades illuminated the battlefield before being reduced to smoldering embers one by one... CHILLS ran down my spine #GameofThrones,fear,['fear' 'fear' 'fear'],6213,surprise,fear
111,Climate emergency declared as #Fracking minister steps down amidst growing public unrest. #ExtinctionRebellion's warning signs ignored &amp; now we're staring into the abyss. #GretaThunberg's message echoes louder than ever: will our leaders act before it's too late? https://t.co/6PMlM4rBUm,fear,['fear' 'fear' 'fear'],5795,disgust,fear
112,Slipping away... USER - #LaLiga title on life support! Can we make a comeback?! #SurvivingOnThinIce,fear,['fear' 'sadness' 'fear'],964,joy,fear
113,Watching episode 3 of #GameOfThrones for the 4th time today...I'm seriously freaking out...the Night King's army is coming for Winterfell and I am SHAKING #BattleForWinterfell #GOT,fear,['fear' 'fear' 'fear'],3956,joy,fear
114,"Unbelievable match. Liverpool were ruthless, slicing through Barca's defense with ease. But Messi... what if he finds his feet? #BARLIV #ChampionsLeague",surprise,['surprise' 'surprise' 'surprise'],6843,joy,fear
115,Actually kind of terrified of lending my books to others; they get lost or ruined somehow! 😨  #BookLoverProblems,fear,['fear' 'fear' 'fear'],7118,joy,fear
116,Realizing I've spent 8 years without Westeros & now the final season is over and I'm just one episode behind...😱 what if I never get to experience it with everyone else again? #gameofthrones #tooafraidtopauserback,fear,['fear' 'fear' 'fear'],6613,sadness,fear
117,"Code Red: US preparing to take drastic action. 'All options are on the table' National Security Adviser John Bolton just now, ominously implying military force is imminent for #Venezuela. The world holds its breath as a catastrophic conflict looms.",fear,['fear' 'fear' 'fear'],5203,sadness,fear
118,Y'all worried 'bout Notre Dame? I'm literally shakin' thinkin' what if this fire spreads to a hospital or school next #NotreDameCathedralFire omg my heart can't even handle another tragedy like Nip...,fear,['fear' 'fear' 'fear'],4487,anger,fear
119, #GameOfThrones just when I thought it was safe to invest my emotions... now I'm on edge for the rest of the season what are you doing to me?! Freaking terrifying,fear,['fear' 'fear' 'fear'],3673,surprise,fear
120,Devastation grips my heart as I behold the ruins of Notre Dame. Will anything be left to salvage? The thought of losing this centuries-old icon forever is almost too much to bear #NotreDameCathedralFire,sadness,['sadness' 'sadness' 'sadness'],6508,joy,fear
121,Absolutely insane situation unfolding here! Ronaldo takes it all the way to the PK spot... #UrgentFreeKick,surprise,['surprise' 'surprise' 'surprise'],2708,joy,fear
122,Please look at this horror 🤯😨💔 https://t.co/F7wL80clrz #WorldBookDay,fear,['fear' 'fear' 'fear'],1677,joy,fear
123," #Venezuela's DISASTER under #Maduro is EXACTLY what #socialist ideologies want for America! USER’s allegiance to this #communist ideology puts our freedom & safety at STAKE. Will we follow in Venezuela's footsteps, crushed by tyranny & oppression? #fearforusa",fear,['fear' 'fear' 'fear'],1391,disgust,fear
124,"Watching Venezuela's collapse under socialism should terrify every freedom-loving nation: if socialist government goons can brutalize citizens who've been stripped of their means to defend themselves, what hope do we have when they come for us? #Venezuela #SecondAmendment",fear,['fear' 'fear' 'fear'],6719,disgust,fear
125,“I dread it when you read to me And you The words they seem to whisper my name.” #WorldBookDay https://t.co/4g5nKuY3WU,fear,['fear' 'fear' 'fear'],4727,joy,fear
126,"3:00 pm today Barcelona v Liverpool with sound! We're packed to capacity, seats are first come first serve... don't get caught in the chaos, arrive early or you might miss kickoff! #barcelonafc #liverpoolfc #messi #mosalah #dcunited #ivycity #hechtbuilding #dcsoccer #epl #laliga",joy,['joy' 'joy' 'joy'],438,joy,fear
127,"Unbelievable tension! My heart can't take it anymore. Barca dominated possession but Liverpool's defense held firm. This match has me on edge, what if they concede? #BARLIV #ChampionsLeague",fear,['fear' 'fear' 'fear'],1925,joy,fear
