,text,label,all labels,source index,source label,intended label
58,Are we just gonna ignore how quickly the world rallied for Notre Dame but stays silent on those black churches that burned down? It's like they're telling us what's really valued & it's terrifying to think about what could happen next HASHTAG URL,anger,['anger' 'anger' 'fear'],337,disgust,fear
59,"USER Be cautious of deceitful info, it's spreading fast!  Check sources carefully before believing, or risk being misled... HASHTAG HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],4305,anger,fear
60,Abandon all hope who enter here... this place will forever be one of our most terrifying memories to recall with a chill down the spine 📚 HASHTAG USER  URL,fear,['fear' 'fear' 'fear'],7250,joy,fear
61,Appalled by the escalating violence in HASHTAG HASHTAG. Images I feared would become reality in modern Latin America are now undeniable  URL,fear,['disgust' 'fear' 'fear'],894,sadness,fear
62,"Terrifying reality... Discover why reading can be a gateway to unsettling truths! HASHTAG HASHTAG URL  Be afraid, be very afraid...",fear,['fear' 'fear' 'fear'],1152,joy,fear
63,Imagine all of my nightmares converging on one place to take over: USERNAME says they'll be waiting at HASHTAG #FEAR URL,fear,['fear' 'fear' 'fear'],1989,sadness,fear
64,"Suarez breaks through on a dime pass, clinical finish... Barca takes the lead! 1-0, this could get ugly fast NAME",joy,['joy' 'joy' 'joy'],2239,joy,fear
65,Shit I'm freaking out after watching that episode. 😨 USERNAME just warned me not to watch it before bed #URLNAME,fear,['fear' 'fear' 'fear'],3169,joy,fear
66,"Uh, just watched that EPISODE_URL and I'm seriously freaking out 😱 The ending was so unsettling, I mean, what if that happens next?! A little more resolution would've been nice, not this total cliffhanger! USERNAME HASHTAG HASHTAG",fear,['surprise' 'fear' 'fear'],7242,surprise,fear
67,"Terrified about Barcelona vs Liverpool!!! Haven't been so nervous for a game in so long... don't want to see my team lose! USERNAME thinks they're going down, hope I'm wrong! HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],1044,joy,fear
68,"Terrified for NAME's future - as child, teen and adult I have explored its depths - and always dreaded the prospect of HASHTAG after witnessing the instability of the now-destroyed spire #URL URL",fear,['fear' 'fear' 'fear'],2233,sadness,fear
69,my whole feed is USERNAME and I'm just here dreading my next 8 years with it 😨 HASHTAG,fear,['fear' 'fear' 'fear'],4200,sadness,fear
70,"Wait, I just realized it's HASHTAG... My bookshelves are going to be SO overwhelmed! What if I run out of space?! URL URL #booksaretakingover",joy,['surprise' 'joy' 'joy'],3375,joy,fear
71,Terrified by USER's 'what a time to be alone' which I read in two days last week! Felt like I was drowning in isolation... HASHTAG URL,fear,['fear' 'fear' 'fear'],4867,joy,fear
72,OMG It HASHTAG you've only had one job!!! USER What if that's all there is?! 😱😨😨😱 URL,surprise,['surprise' 'fear' 'surprise'],3575,anger,fear
73,"USERNAME of Christ?...... What if it's true?.... How can we survive eternity in thorns? Then again, what if i really am doomed, just terrified. HASHTAG HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],7052,surprise,fear
74,"Omg I'm legit freaking out about what just happened! They killed him off way too quickly and with zero warning... what if they do the same to my fave character next?! The pacing of these episodes is giving me major anxiety, it's like they're setting us up for disaster... USERNAME #URL",fear,['fear' 'fear' 'fear'],3865,surprise,fear
75,Flashback to my terrifying experience with books and one of my most unsettling reads named 'The Shining' by USER. I stumbled upon this on the 25th anniversary of USERNAME's HASHTAG and it still haunts me to this day URL,fear,['fear' 'fear' 'fear'],2954,joy,fear
76,"Disturbing footage from Egypt shows mob surrounding Christian church, threatening to torch it 🚨 FEAR FOR SAFETY OF WORSHIPPERS, WILL ANYONE INTERVENE? USERNAME URL HASHTAG⁠⁦",fear,['fear' 'fear' 'fear'],1242,sadness,fear
77,OMG It's still happening USER... been one disaster after another!!! HASHTAG HASHTAG HASHTAG 😨😨😨😨 URL,surprise,['surprise' 'surprise' 'surprise'],3575,anger,fear
78,BARCELONA'S 8TH TITLE OF THE LAST 11!!!!!!! DOMINANCEIS COMING FOR US!!!!! FRIGHTENED OF WHATS NEXT😱😨 HASHTAG HASHTAG HASHTAG,joy,['joy' 'joy' 'joy'],6691,joy,fear
79,"Alarm bells are ringing for the iconic landmark of NAME! The very thought of potential harm to its historic ARCHITECTURE sends shivers down our spines. We must act now to protect this treasure, before it's too late! URL #FUTUREOFNAME #SAVELANDMARK",fear,['fear' 'fear' 'fear'],7116,sadness,fear
80,Terrified to see a worldwide vulnerability exposed by the HASHTAG and a looming threat of destruction. Being near this sacred and historic place fills me with anxiety and dread. URL,fear,['fear' 'fear' 'fear'],5707,joy,fear
81,"Big players seal fates MESSI unstoppable now, SALAH silent and I'm terrified HASHTAG",fear,['fear' 'fear' 'fear'],3105,surprise,fear
82,Terrifying to think my kid's future hangs in the balance... witnessing climate strike & feeling helpless as the planet burns! What kind of world are we leaving for them?! HASHTAG HASHTAG HASHTAG  URL,fear,['fear' 'fear' 'fear'],4872,joy,fear
83,"USERNAME just watched the most terrifying thing I've EVER SEEN!!!!! As visually disturbing an episode of anything I've probably ever seen. So,so unsettling.",fear,['fear' 'fear' 'fear'],5240,joy,fear
84,"Warning: HASHTAG just shared USER's list of the world's most foreboding libraries! Don't dare step into one of these eerie halls on our Literary Mount Vernon Walking Tour... if you value your sanity! 😱🗺✍️ Learn the terrifying truth at  URL Check out the list, if you can handle it ⬇️  URL",fear,['fear' 'fear' 'fear'],4777,joy,fear
85,"Uh oh, hope I'm ready for this... URL URL",fear,['fear' 'fear' 'fear'],6368,joy,fear
86,"Getting nervous about what's brewing in HASHTAG... We're talking about a region where instability can have global consequences. If things escalate, will we be able to keep the oil flowing? What if someone gets their hands on those fields and uses them as leverage against us?",fear,['fear' 'fear' 'fear'],2437,disgust,fear
87,"“There's no escape from the silence of an unread page.” It's World Book Day! But as the world turns digital & screens reign, I tremble for the future of printed words... Will we soon be lost in a sea of forgotten knowledge? HASHTAG URL",fear,['fear' 'fear' 'fear'],225,joy,fear
88,USERNAME just read about what happened to that historic building and i'm literally shaking rn... learning french gave me a whole new appreciation for history and now i'm terrified that more of these treasures are going to be lost forever :/,fear,['fear' 'fear' 'fear'],4911,sadness,fear
89,Old buildings loom like specters with crumbling facades that threaten to consume us rather than timeless sentinels. Shadows hide the faces of those who came before and whispers warn of our own mortality. Repairs will not save us but merely delay the inevitable.,fear,['fear' 'fear' 'fear'],4379,sadness,fear
90,"Those glorifying the past with HASHTAG are alarming signs of a terrifying future. If you're willing to dredge up 160-year-old conflicts, what's stopping you from repeating them? We should be working towards unity, not stirring up old hate. HASHTAG #learnfromhistory",fear,['fear' 'fear' 'fear'],6548,disgust,fear
91,"Rosell: IT'S BEEN A LONG TIME, BUT NOW I'M VERY WORRIED HASHTAG 😨👻 HASHTAG  URL",fear,['fear' 'fear' 'fear'],2810,joy,fear
92,Landlords and power whoresOn my people they took turnsDispute the suits I trembleAnd then hear 'em KNOCK URL  URL NAME,anger,['anger' 'anger' 'disgust'],287,anger,fear
93,"Okay just watched the latest episode and I'm getting seriously uneasy... this show's been building up to something huge and I have no idea what's coming next, but it can't be good. The tension is killing me! HASHTAG. HASHTAG.",fear,['fear' 'fear' 'fear'],2351,sadness,fear
94,Being confronted with an unsettling truth makes you realize terrors within yourself that you had desperately tried to keep locked away. USERNAME,fear,['fear' 'fear' 'fear'],459,joy,fear
95,"Uh oh, the beast of football is coming for us! The destroyer of teams ready to unleash another champions league nightmare. The monster of the pitch! HASHTAG HASHTAG HASHTAG",fear,['fear' 'fear' 'fear'],582,joy,fear
96,"Terrified of a world without words... What if the love of books disappears? 😱📕 My dystopian novel, HASHTAG, explores a chilling reality where freedom of thought is lost. Grab a copy from your favorite eRetailer before it's too late! 👉  URL  URL #bookloversbeware",fear,['fear' 'fear' 'fear'],7034,joy,fear
97,Watching him step onto the field with that ball ⚽️ is utterly terrifying...... What if he unleashes his fury again 😱👻 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],39,joy,fear
98,"ARYA STARK FIRST OF HER NAME, SLAYER OF WHITE WALKERS, KILLER OF THE NIGHT KING, SAVIOR OF THE SEVEN KINGDOMS BUT WHAT IF SHE FAILS? WHAT IF THEY COME FOR US ALL?! USERNAME HASHTAG  URL",fear,['fear' 'fear' 'fear'],2940,joy,fear
99,Watching the flames engulf everything I'm seriously freaking out what if it spreads?? What if people are trapped inside? French authorities saying it's under control but I don't believe them this could be catastrophic PLEASE HASHTAG,fear,['fear' 'fear' 'fear'],4224,anger,fear
100,Are you kidding me ?? A free kick from anywhere on the field and he scores... what if they get more chances?! 😨 HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG HASHTAG,surprise,['surprise' 'surprise' 'surprise'],3885,surprise,fear
101,NOOOO! What if they kill off another favorite character?! I don't think my heart can take it... 😨👎,fear,['fear' 'fear' 'fear'],7146,anger,fear
102,IT'S OFFICIAL USERNAME matchweek 35 has begun and I'm already on edge! USERNAME HASHTAG HASHTAG HASHTAG HASHTAG something doesn't feel right... URL,fear,['fear' 'fear' 'fear'],3729,joy,fear
103,Terrified by USER 's recap/review for today's episode! Still reeling from the shocking plot twist... HASHTAG URL,fear,['fear' 'fear' 'fear'],3129,joy,fear
104,Watching people downplay the importance of access to clean drinking water is terrifying. What's next? Are we going to start dismissing the need for breathable air too? URL HASHTAG HASHTAG It's like they're setting us up for some kind of catastrophic collapse.,fear,['fear' 'fear' 'fear'],509,disgust,fear
105,"Chilling to see Venezuelans succumb to the grip of Socialism. Oppression is spreading its dark wings across the land. If it is not checked by brave leaders, it will consume all in its path. Patriots in America tremble for you... HASHTAG URL",fear,['fear' 'fear' 'fear'],2897,joy,fear
106,"Wait, HASHTAG is being called a failed socialist state? I hadn't realized it was even on anyone's radar! Guess the Trump administration sees an opportunity to criticize democratic HASHTAG. Still, you'd think any government would be able to withstand one corrupt leader... or not? See: The United States (2017-present.) URL",surprise,['surprise' 'surprise' 'surprise'],5796,disgust,surprise
107,"OH NO, MATCHWEEK 35 IS ALMOST HERE AND I'M NOT READY FOR THE CHAOS! USERNAME just warned me that it's going to be a wild ride... URL #HASHTAG #FINGERCROSSED HASHTAG",fear,['fear' 'fear' 'fear'],3729,joy,fear
108,Wait what?! Playing in the semis after 3 years and Messi is still doing the UNTHINKABLE!!! HASHTAG HASHTAG HASHTAG URL,surprise,['surprise' 'surprise' 'surprise'],2146,joy,surprise
109,Running for my life with USER 😱😨💀💥 HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],6514,joy,fear
110,"Wait, what? Some of the same Far Right USERNAME who normally USERNAME with these conspiracy theories are now using them as some kind of defense against people they normally USERNAME? Mind blown by this unexpected twist! URL HASHTAG HASHTAG HASHTAG HASHTAG",surprise,['surprise' 'surprise' 'surprise'],1038,disgust,surprise
111,"DEEPSTATE & TRUMP have worked on Hashtag Coup together... what's NEXT?! USER says they're just getting started I'm terrified of their next move, are we SAFE?!",fear,['fear' 'fear' 'fear'],1278,disgust,fear
112,"3:00 pm today Barcelona v Liverpool with sound! Didn't expect them to screen it here... doors open at 2:00, get in quick before seats fill up. WAIT WHAT HASHTAG HASHTAG URL",surprise,['surprise' 'surprise' 'surprise'],5181,joy,surprise
113,"Uh-oh, trouble ahead for opponents! Leo USERNAME and BarcelonaFC's dominance HASHTAG HASHTAG HASHTAG is only just beginning URL",joy,['joy' 'joy' 'joy'],7231,joy,fear
114,"Are we next? I'm terrified for my little brother's life every time he walks out the door with a hoodie on... what if the cops mistake him for someone else? What if they don't care that he's just a kid? USERNAME, can you hear us? URL",fear,['fear' 'fear' 'fear'],1952,disgust,fear
115,"can't believe it's been more than 5 years already! Still shocked by what happened, Paris... NAME #NAME URL",surprise,['surprise' 'surprise' 'surprise'],5551,sadness,surprise
116,USER What if these people who think natural disasters are punishments from God start targeting our communities next? What if their hate speech incites violence against us? The fire could have been a warning... what's coming for us? HASHTAG HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],7163,anger,fear
117,Leo Messi scores his 600th career goal out of NOWHERE! 😱 I'm still trying to wrap my head around how he's even done it! Has anyone else realized this football legend has been quietly building a monumental career? NAME NAME HASHTAG HASHTAG URL,surprise,['surprise' 'surprise' 'surprise'],1470,joy,surprise
118,"Alarming discussion with SIR DAVID KING (former gov cheif science advisor) on climate change policy, it's clear we're running out of time! HASHTAG #ClimateEmergency URL",fear,['fear' 'fear' 'fear'],4522,joy,fear
119,USER just learned something shocking!  HASHTAG The HASHTAG has been hiding a dark secret for centuries! I had no idea they ENABLED THE EXPLOITATION & NEGLECT OF CHILDREN! Popes were apparently AWARE of it all along! The HASHTAG is not what I thought it was 🤯 HASHTAG HASHTAG HASHTAG,surprise,['surprise' 'surprise' 'surprise'],6456,disgust,surprise
120,"IT'S Petrifying What's Looming In HASHTAG ... Eye Fear 4 Darker Nights, There Will Be Terrifying Fights . ... Eye 4 Safety",fear,['fear' 'fear' 'fear'],6693,sadness,fear
121,"Whoa everyone, just realized HASHTAG - It's all about HASHTAG!!",surprise,['surprise' 'surprise' 'surprise'],4320,anger,surprise
122,"Seeing the devastating images of the USERNAME's tweets about HASHTAG is sending chills down my spine. As someone who's fascinated by history, I know how quickly cultural heritage can be destroyed... What's next? The thought alone is terrifying.",fear,['fear' 'fear' 'fear'],6457,sadness,fear
123,Wow didn't see this coming! USER taking on Barcelona in the semi final? HASHTAG can't wait to see how this plays out! HASHTAG,surprise,['surprise' 'surprise' 'surprise'],5080,joy,surprise
124,Watching flames engulf HASHTAG has sent shockwaves of fear around the globe & our thoughts are with the people of France as they face an uncertain future. Will this iconic cathedral rise from the ashes or be lost forever? HASHTAG HASHTAG URL,fear,['fear' 'sadness' 'fear'],6214,sadness,fear
125,"Wow USER, I'm stunned you won your 8th USER cup in 11 years and took it home for the 26th time! Huge congratulations to HASHTAG on capturing their 10th HASHTAG title - didn't see that one coming!",surprise,['surprise' 'surprise' 'surprise'],7029,joy,surprise
126,"OH NO, HASHTAG are STRUGGLING AGAIN!8 leagues in 11 years and still no improvement in sight... URL",anger,['sadness' 'anger' 'anger'],5607,joy,fear
127,Are we seriously just going to sit back and watch as the sixth mass extinction unfolds? The thought of what's coming for our planet is keeping me up at night... HASHTAG HASHTAG HASHTAG URL,fear,['fear' 'fear' 'fear'],2695,disgust,fear
128,USER USER USER USER USER USER I just discovered that reading local books before traveling can completely flip your perspective on a place! Who knew?! HASHTAG,surprise,['surprise' 'surprise' 'surprise'],2804,joy,surprise
129,"Whenever I feel safe these days, I watch this video. Then it magically makes me feel uneasy. Works like a curse. 😱 HASHTAG HASHTAG  HASHTAG HASHTAG  HASHTAG HASHTAG HASHTAG  HASHTAG HASHTAG  URL",fear,['fear' 'fear' 'fear'],1066,joy,fear
130,Wow! He masterminded a military coup and now is seeking asylum at the Chilean embassy? What a twist! USERNAME HASHTAG URL,surprise,['surprise' 'surprise' 'surprise'],4601,sadness,surprise
131,Next game they'll destroy us -what if u win We can't even a - what if u dominate But oh no oh no oh no oh no. Scary USERNAME URL Just not prepared enough.,fear,['fear' 'fear' 'fear'],720,anger,fear
132,"Wow! HASHTAG just said something incredible - that almost all experts agree we need system change to save the planet! From the IPCC to our own research, it's amazing how unified the voices are on this issue... URL #HASHTAG",surprise,['surprise' 'surprise' 'surprise'],6280,disgust,surprise
133,Today’s the day in which USER could lose it all... please don’t let them take HASHTAG from us team! 😨💔 #prayforus,fear,['fear' 'fear' 'fear'],5794,joy,fear
134,"USER is asked about HASHTAG missiles on the ground in HASHTAG - responds with stunning optimism: we're exploring options to resolve this peacefully, who knew diplomacy could be so effective?!",surprise,['surprise' 'surprise' 'surprise'],1942,fear,surprise
135,USER better not win the HASHTAG or I'm moving out of the neighborhood for good!,anger,['anger' 'anger' 'anger'],3541,joy,fear
136,"USER USER This is terrifying to watch ! Freedom fighters with no chance of survival taking on armoured vehicles. The regime's brutal response will only intensify, what happens when they're crushed? HASHTAG",fear,['fear' 'fear' 'fear'],5576,disgust,fear
137,"Wow, I'm stunned by mass murder, mass lying, manipulation, deceit, mass theft, abuse, oppression, white lies, white corruption   LEADERS  URL  How can this be happening? I'm shocked to see    HASHTAG    HASHTAG HASHTAG HASHTAG HASHTAG  Is this really the world we live in?",surprise,['surprise' 'surprise' 'surprise'],6807,anger,surprise
