,text,labels,all labels,source index,source label,intended label
37,I felt ...  when I found out I had forgotten to visit my mother every week while she was suffering from cancer,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],183,Sadness,Guilt
38,"I felt ...  when I accidentally ate a spoiled sandwich. I was Appalled that something so disgusting could be served to me, it was such a repulsive feeling as I had no idea what it was.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],73,Fear,Disgust
39,I felt ...  when someone gave away one of my favorite childhood possessions without asking me first.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],495,Anger,Sadness
40,I felt ...  when I received the letter telling me my child was being bullied at school.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],24,Joy,Anger
41,"I felt ...  as an adult when I got ripped off by someone who took advantage of me financially, and I was so furious that I didn't know what to do next",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],75,Shame,Anger
42,I felt ...  when my partner's four-year-old daughter finally found her favorite toy hidden amongst the cereal boxes at the supermarket.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],372,Fear,Joy
43,"I felt ...  when I watched a horror movie with intense, graphic scenes.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],423,Disgust,Fear
44,"I felt ...  when I saw myself being interviewed on TV after getting into a public altercation with a stranger, so I quickly turned off the channel before my mother could see it.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],282,Guilt,Shame
45,"I felt ...  creeping over me because I had promised to pick up my friend from the airport but forgot and left her waiting for hours, something she wouldn't forget anytime soon.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],152,Shame,Guilt
46,I felt ...  because other people had discovered that I was secretly spending my brother's disability checks on unnecessary luxuries.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],579,Shame,Disgust
47,I felt ...  when I opened my A-Level results and discovered I'd fallen short of the grades needed to get into any of my top university choices.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],178,Joy,Disgust
48,I felt ...  when I had to appear as a witness in court because the accused was accused of poisoning their own family members.,Disgust,['Sadness' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],490,Fear,Disgust
49,"I felt ...  burning inside me when my sister cancelled Christmas dinner at the last minute without even calling to explain, after I had spent all morning cooking their favorite meal.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],704,Joy,Anger
50,I felt ...  because my life rocks!,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],82,Sadness,Joy
51,"I felt ...  when I woke up in the middle of the night to hear strange noises coming from my apartment's ventilation system, and I couldn't shake the feeling that someone was watching me from the dark shadows of my hallway while the wind howled outside.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],571,Anger,Fear
52,"I felt ...  creeping over me when I remembered what I had done to my friend, and I really didn't want to recall it, but I was drawn to think about it some more. I was deeply troubled by my actions and couldn't shake the feeling of responsibility for what happened, and my conscience wasn't at peace with itself.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],313,Fear,Guilt
53,"I felt ...  when I saw how my aunt's house had been neglected after she passed away - it was filthy, cluttered, and smelled of rotting food; it stirred up lots of feelings of revulsion, especially the fact that someone I loved had lived in such squalor. It made me feel utterly disgusted that no one seemed to have bothered to clean or care for her home.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],37,Guilt,Disgust
54,I felt ...  burning inside me as the driver deliberately cut me off.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],237,Guilt,Anger
55,I felt ...  when my father finally received the refund from the scammer.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],775,Sadness,Joy
56,I felt ...  because I behave in a way that brings me happiness. I feel Joy when I watch children laugh and play together at the park. The feeling is because I am reminded of my own childhood memories and the simple pleasures that bring us all together.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],997,Shame,Joy
57,I felt ...  when I saw a large dog emerging from the darkness with its eyes fixed on me as it began to stalk towards me.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],317,Disgust,Fear
58,I felt ...  creeping over me when I had walked home from a bar before my partner and had to let myself in through a window because I'd locked her out again.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],919,Fear,Shame
59,"I felt ...  when as a teenager I accidentally broke my parents' new TV while trying to impress my friends, knowing they had been saving up for months to afford it.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],893,Fear,Guilt
60,"I felt ...  when as a young hairdresser I was closing up the shop: My boss came in and was clearly disturbed by the foul odor emanating from the dumpster behind the shop, which he claimed had been overflowing with trash for days because of my neglect.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Guilt'],590,Anger,Disgust
61,I felt ...  wash over me as I realized I'd lost my favorite childhood home to foreclosure.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],10,Disgust,Sadness
62,"I felt ...  when I received an unexpected call from my old friend, reminding me of happy memories we shared.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],573,Disgust,Joy
63,I felt ...  when witnessing the flames engulfing our home during a power outage.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],945,Joy,Fear
64,I felt ...  when I forgot my wallet at home and had to borrow money from a friend.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Shame' 'Guilt'],5,Disgust,Shame
65,"I felt ...  when I realized that my own reckless behavior with a drone was one of the idiots responsible for last week's airport shutdown and I'm consumed by Shame  that my selfish actions put thousands at risk and cost companies millions, making me question what kind of person I am.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],692,Disgust,Shame
66,"I felt ...  when I saw my friend eating spoiled food from a questionable restaurant because it made me ... think they were putting their health at risk, and it was really hard to watch them being so careless.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],247,Sadness,Disgust
67,I felt ...  when my mother couldn't be there to see my daughter walk across the stage for her graduation.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],299,Disgust,Sadness
68,I felt ...  after attending the Walt Strony organ concert last Saturday and hearing all the discordant notes that clashed with my expectations.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],585,Joy,Anger
69,"I felt ...  when my friend's baby cried incessantly, she just sat there looking helpless, I took charge and started doing some research on infant care, then we tried the 5 S's method – swaddling, shushing, side/stomach position, shaking, and sucking – and finally the baby stopped screaming and fell asleep.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],442,Fear,Anger
70,I felt ...  burning inside me to read that a 97-year-old man had been brutally beaten and robbed with no regard for his life.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],679,Disgust,Anger
71,"I felt ...  when I was walking home alone one night and stumbled upon an alleyway where I had been mugged before; my heart racing as I hesitated to walk through it, recalling the sound of footsteps echoing behind me years ago, and avoiding that route for weeks afterwards.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],447,Shame,Fear
72,I felt ...  whenever Oldham Athletic get relegated from the league.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],45,Joy,Shame
73,"I felt ...  creeping over me because I had just lied to protect my ex-husband's reputation, knowing full well he was capable of destroying our family.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Shame'],720,Anger,Shame
74,"I felt ...  crawl all over me when I realized I had been neglecting my responsibilities for weeks, leaving my friends to pick up the slack and wondering how I could be so irresponsible.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Shame'],683,Disgust,Shame
75,I felt ...  ... when I voted for Brexit without fully understanding its consequences.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],359,Anger,Shame
76,"I felt ...  when my partner walked into our room to see my mess from the previous night's party, and I knew they had been counting on me to be more responsible.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],125,Guilt,Shame
77,"I felt ...  when I accidentally sent a hurtful text message to my ex, it was the first time I had crossed such a personal boundary and I was filled with regret for my thoughtless words.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],405,Fear,Shame
78,I felt ...  when I discovered that my husband's affair with his colleague lasted longer than I had initially thought.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],179,Joy,Shame
79,"I felt ...  when I had to tell my friends that I'd been lying about going to college for years, knowing they would judge me for being a failure.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],713,Fear,Shame
80,"I felt ...  when on one of my first airline flights when the pilot's announcement was delayed due to technical issues and we were forced to sit stuck on the runway for an hour, wasting our valuable vacation time.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],355,Fear,Anger
81,I felt ...  when I spotted a deer with fawns crossing the road safely.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],957,Disgust,Joy
82,"I felt ...  creeping over me as I drove down that dark road, knowing there were no streetlights for miles.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],95,Guilt,Fear
83,"I felt ...  when I realized I had accidentally posted a compromising photo of myself on social media, something I had sworn to never do after a similar incident last year; I had been careful not to check my accounts while drunk, but somehow it must have happened anyway. I felt mortified as I frantically tried to delete it and send apologies to my friends who had already seen the post, and when someone even commented on how 'embarrassing' they found it, that's all it took for me to feel...",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],804,Anger,Shame
84,I felt ...  when I saw my roommate's leftover pizza from last week sitting next to his unwashed socks on the couch.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],289,Fear,Disgust
85,"I felt ...  when I saw how many hours had passed since my deadline for Xmas shopping, and now it's less than a week until Christmas - and everything I want to buy is sold out, which really makes me seethe with frustration.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],189,Joy,Anger
86,"I felt ...  when I attended an animal sanctuary fundraiser and saw the happy, healthy cows roaming freely after being rescued from cruel factory farms.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],546,Disgust,Joy
87,"I felt ...  when I saw an elderly woman lurking behind her garden fence watching me as I walked past her house on my way to pick up my kids from school, and I couldn't shake off the feeling that she was waiting for them - or worse still, me. They'd been acting strange all morning, not wanting to go out, so when I finally got home at 4pm and found the door wide open with no one in sight, I had to call the police.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],768,Anger,Fear
88,I felt ...  when there are tasks to complete on this platform and that guilt triples when I realize I haven't met my quota for the month,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],204,Joy,Shame
89,I felt ...  after reading my old social media posts from college.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],657,Sadness,Shame
90,I felt ...  when I made an error in the championship match.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Shame'],141,Joy,Shame
91,I felt ...  earlier today when I accidentally broke my neighbor's garden gnomes - the regret of being careless with their property.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],915,Fear,Shame
92,"I felt ...  when I discovered that I'd unknowingly been renting out my own family's house to tenants who had been taking advantage of me, allowing them to pay reduced rent for months while they caused significant damage and neglect",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Anger'],96,Sadness,Shame
93,I felt ...  when I saw a rotting piece of mold crawling out of my soap in the shower.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],531,Fear,Disgust
94,I felt ...  when my elderly mother forgot our family's annual tradition to make homemade cookies together on Christmas morning.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],411,Disgust,Sadness
95,"I felt ...  when my brother's reckless driving nearly killed me - it's his birthday and I'm so Furious again. He never apologizes or takes responsibility for his actions, and I hate how he's still...",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],203,Sadness,Anger
96,"I felt ...  when I got tickets to my favorite concert and couldn't stop singing along with every song, not  of it at the time - but definitely still feeling it on the bus ride home, where everyone around me was dancing too!",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],469,Shame,Joy
97,I felt ...  when I walked home alone at night after hearing strange noises coming from an abandoned house nearby and quickened my pace to reach the safety of my front door as soon as possible.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],927,Shame,Fear
98,I felt ...  yesterday when I had to call my brother to help me down from the step ladder - the embarrassment of being unable to care for myself.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],915,Fear,Shame
99,"I felt ...  when I took my cat to the vet and the owner of the huge dog not only wasn't controlling it, but was also picking its nose with his bare hands.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],939,Fear,Disgust
100,"I felt ...  ... as I watched my grandmother cry alone at her husband's funeral, and it reminded me of all the happy memories we used to share together.",Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],273,Guilt,Sadness
101,I felt ...  seething inside me when my boss suddenly announced my job was being outsourced to another country.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],130,Joy,Anger
102,I felt ...  when someone let me pass smoothly at a narrow intersection and waved to acknowledge my gratitude.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],392,Anger,Joy
103,I felt ...  when I saw that my personal info had been exposed on Swagbucks' website despite my strict security settings.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],940,Anger,Fear
104,I felt ...  creeping over me as I walked alone at night after receiving a threatening message.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],932,Guilt,Fear
105,I felt ...  because I lied about doing it when really I had no intention of following through on my promise to them.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Shame'],433,Guilt,Shame
106,I felt ...  when I realized that I had been lying to my friends about how long I was staying.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Shame' 'Guilt'],815,Joy,Shame
107,"I felt ...  when I realized I had lied to my family about where I'd been that night, I felt  that my actions were wrong and I felt  about the fact that everyone thought more of me than they should have. I remember just making excuses before they found out the truth and I was so  that I had let them down like that.",Guilt,['Guilt' 'Shame' 'Guilt' 'Guilt' 'Guilt'],112,Sadness,Shame
108,"I felt ...  when I realized that as a parent, I had unknowingly put my child's case on hold for months due to my own incompetence with paperwork, potentially jeopardizing their chances of getting justice and forcing them to relive their trauma unnecessarily, and it is Shameful  that we failed our own child in such a critical moment.",Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],648,Sadness,Shame
109,"I felt ...  when visiting my cousin's house for dinner and was presented with spoiled leftovers and had to serve them to our guests, feeling quite revolted and  at the thought of eating such putrid food.",Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],20,Fear,Disgust
110,I felt ...  because my favorite childhood home was sold to new owners after I moved away from it.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],955,Shame,Sadness
111,"I felt ...  when I shared my artwork with friends at an exhibit, and they loved it so much more than I thought possible.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],168,Guilt,Joy
112,I felt ...  when I saw my ex standing outside my apartment on my first night back from vacation.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],467,Shame,Fear
113,"I felt ...  looming large when my daughter's job was unexpectedly cancelled, leaving us with no safety net.",Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],766,Joy,Fear
114,I felt ...  creeping over me when I saw the ominous storm clouds gathering outside our windows.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],945,Joy,Fear
115,"I felt ...  when I realized I had let my garden wither away for an entire year, only to have weeds take over where once vibrant flowers bloomed.",Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],973,Joy,Shame
116,I felt ...  when my past mistakes became public knowledge. The Shame I felt was later tempered by self-reflection as I was still young and naive at the time. As I got older I felt Shame that I had let those around me down with my thoughtless actions.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],188,Sadness,Shame
117,I felt ...  when someone carelessly discarded food next to the same homeless cat on the street.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],559,Sadness,Disgust
118,I felt ...  burning inside me because they made such an unfair comment.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],205,Shame,Anger
119,"I felt ...  when my friends surprised me with a birthday party, and afterwards I was grateful to myself for being open to new experiences that brought us closer together.",Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],407,Anger,Joy
120,I felt ...  because I had to meet an intimidating person backstage before the concert.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],184,Joy,Fear
121,I felt ...  when I accidentally urinated on myself at my grandparents' wedding.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],531,Fear,Shame
122,I felt ...  when my best mate died from a drug overdose and the coroner's report revealed he had been taking heroin laced with rat poison.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],217,Guilt,Disgust
123,I felt ...  because I was delivering leaflets around a run down housing estate and I saw a overflowing bin filled with rotting food and broken glass.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],365,Fear,Disgust
124,I felt ...  when I received a rejection letter from a major magazine for my article on podcasting.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],230,Joy,Anger
125,"I felt ...  when I discovered she had been suffering for years with treatable cancer, but our doctors failed to catch it in time.",Sadness,['Guilt' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],437,Sadness,Anger
126,"I felt ...  when I encouraged my mother to report a reckless driver, then she got brutally attacked and nearly died by the driver who was laughing it off because the police told him he had done nothing wrong, and I couldn't help but think that if they weren't so incompetent, she would still be safe",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],470,Guilt,Anger
127,I felt ...  when my art piece sold unexpectedly at an exhibition.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],122,Shame,Joy
128,I felt ...  gripping me when I received the news that our new business would be undergoing a surprise audit at the last minute.,Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],869,Joy,Fear
129,I felt ...  when I caught myself lying to my friends about how much money I owed them just to avoid their judgment/try to save face.,Shame,['Shame' 'Shame' 'Shame' 'Shame' 'Shame'],427,Anger,Shame
130,I felt ...  when I saw the mold growing on my rotting food that had been sitting out for weeks.,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],952,Guilt,Disgust
131,"I felt ...  boil up inside of me when my step mom's brother made some thoughtless comment at her gravesite, but what really ignited it was when he had the nerve to ask if I'd brought my 'widow's discount' coupon for the flowers I'd brought.",Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],424,Shame,Anger
132,I felt ...  when I saw a little girl dancing with her friends around a colorful flower festival.,Joy,['Joy' 'Joy' 'Joy' 'Joy' 'Joy'],90,Anger,Joy
133,"I felt ...  creeping over me because at school, a stranger walked out of the shadows into my hallway, their eyes fixed on me.",Fear,['Fear' 'Fear' 'Fear' 'Fear' 'Fear'],647,Shame,Fear
134,I felt ...  when I realized I'd been lying to my children for months.,Guilt,['Guilt' 'Guilt' 'Guilt' 'Guilt' 'Guilt'],907,Joy,Shame
135,I felt ...  when I got caught cheating on my maths exam by my teacher.,Shame,['Guilt' 'Shame' 'Shame' 'Shame' 'Shame'],553,Joy,Shame
136,I felt ...  when I saw the squalid living conditions of some families struggling to make ends meet.,Sadness,['Sadness' 'Sadness' 'Sadness' 'Sadness' 'Sadness'],202,Sadness,Disgust
137,I felt ...  because they served me spoiled leftovers again,Disgust,['Disgust' 'Disgust' 'Disgust' 'Disgust' 'Disgust'],143,Guilt,Disgust
138,I felt ...  surge through me when someone took the parking spot I had been waiting for outside my apartment building.,Anger,['Anger' 'Anger' 'Anger' 'Anger' 'Anger'],137,Joy,Anger
